from,to,value
IGHV3,IGHJ6,40
IGHV3,IGHJ5,54
IGHV3,IGHJ4,54
IGHV3,IGHJ3,37
IGHV3,IGHJ2,105
IGHV3,IGHJ1,86
IGHV2,IGHJ6,4
IGHV2,IGHJ5,16
IGHV2,IGHJ4,5
IGHV2,IGHJ3,5
IGHV2,IGHJ2,6
IGHV2,IGHJ1,28
IGHV1,IGHJ6,20
IGHV1,IGHJ5,22
IGHV1,IGHJ4,10
IGHV1,IGHJ3,18
IGHV1,IGHJ2,23
IGHV1,IGHJ1,31
IGHV6,IGHJ6,1
IGHV6,IGHJ5,1
IGHV6,IGHJ4,2
IGHV6,IGHJ2,1
IGHV6,IGHJ1,3
IGHV5,IGHJ6,9
IGHV5,IGHJ5,6
IGHV5,IGHJ4,14
IGHV5,IGHJ3,2
IGHV5,IGHJ1,13
IGHV4,IGHJ6,20
IGHV4,IGHJ5,17
IGHV4,IGHJ4,9
IGHV4,IGHJ3,2
IGHV4,IGHJ2,18
IGHV4,IGHJ1,18
